idRestaurant, deviacioAbsoluta
1,136670.42000000016
2,304498.17999999697
3,452134.72999999905
4,596323.1000000054
5,919941.0399999474
6,1082426.710000028
7,1437549.7099998482
8,1750672.790000009
9,1884169.9299996702
10,2056230.539999537
11,2237234.0400006487
12,2413639.970000316
13,2764169.7700000717
14,2954914.490000325
15,3307392.2600000566
16,3677414.4199997326
17,3945939.379998941
18,4250545.28000134
19,4556959.99000058
20,4877982.190002092
21,5143729.490001033
22,5326495.630000804
23,5492244.370001111
24,5635424.079995724
25,5806295.820000051
26,6009491.040005884
27,6329480.359996318
28,6543696.619997708
29,6856889.210000156
30,7001393.039998364
31,7246557.759996297
32,7539313.220010418
33,7692296.990013786
34,7870948.220009953
35,8163849.329983566
36,8449079.85998573
37,8613705.039989255
38,8808740.219996598
39,8998055.230009705
40,9190018.620003976
41,9371348.140008127
42,9597163.289999105
43,9762897.98000022
44,9933522.629995137
45,1.0107461410000756E7
46,1.0317426920005636E7
47,1.0506913120010959E7
48,1.0731692860009504E7
49,1.0983323790013785E7
50,1.1280126200008184E7
51,1.1463991080000425E7
52,1.1642234280015687E7
53,1.1931018389999926E7
54,1.2169939509984002E7
55,1.2345117319968825E7
56,1.2564568629968517E7
57,1.2738313139974166E7
58,1.2936396380001308E7
59,1.3094093930001909E7
60,1.3266203620019734E7
61,1.3493070030019468E7
62,1.375572644997779E7
63,1.3932823390007589E7
64,1.4094144989998497E7
65,1.4354193289954647E7
66,1.4601990500007745E7
67,1.4769048489979437E7
68,1.5014642129989238E7
69,1.5260869069994498E7
70,1.5423586140006814E7
71,1.5521234049991608E7
72,1.5596443959998371E7
73,1.567699240998947E7
74,1.5768123179969598E7
75,1.5858170949976258E7
76,1.5937393579976901E7
77,1.6020319719971873E7
78,1.6099585669977779E7
79,1.6188342209984783E7
80,1.6277990429977845E7
81,1.6367521119984405E7
82,1.6450748669984877E7
83,1.6536738830003954E7
84,1.6621840069996867E7
85,1.6711164189999657E7
86,1.6799730449989557E7
87,1.6880472410001423E7
88,1.6962059590001777E7
89,1.7055905229998358E7
90,1.7148738069998305E7
91,1.7239092139998868E7
92,1.7328730649996333E7
93,1.74135428500186E7
94,1.7505767450039577E7
95,1.759953818003944E7
96,1.7686986550043955E7
97,1.7780821210033666E7
98,1.7881240790029634E7
99,1.798313321001355E7
100,1.8068721849985637E7
