idRestaurant,vegadesVisitat
1,31699
2,34934
3,32050
4,30206
5,72709
6,39204
7,72679
8,72721
9,30431
10,38956
11,42279
12,43143
13,72652
14,43491
15,72691
16,72687
17,72702
18,72682
19,72711
20,72721
21,57149
22,41416
23,38473
24,30799
25,40049
26,48189
27,67031
28,48994
29,66461
30,34676
31,55105
32,65651
33,32181
34,42328
35,65825
36,67459
37,34494
38,46383
39,47028
40,45375
41,38127
42,53566
43,35731
44,33345
45,42963
46,48511
47,45109
48,53325
49,59984
50,69755
51,38236
52,40356
53,66405
54,55016
55,39970
56,53930
57,32733
58,32102
59,36861
60,36384
61,55177
62,62982
63,40643
64,35365
65,58586
66,59908
67,35807
68,59916
69,59491
70,41166
71,18338
72,18758
73,18592
74,18839
75,18861
76,19181
77,19334
78,19234
79,19440
80,19304
81,19684
82,19562
83,19926
84,19907
85,20146
86,20354
87,20113
88,20515
89,20230
90,20734
91,20744
92,21031
93,21306
94,21546
95,21793
96,21943
97,22355
98,22475
99,22945
100,19306
