idUsuari, idRestaurant
20,28
96,37
125,7
125,15
125,20
125,23
125,30
127,15
141,47
142,44
167,2
171,68
207,92
217,18
237,40
261,12
261,50
261,52
268,4
268,24
268,30
268,43
268,51
268,58
268,64
286,14
286,37
295,17
305,46
317,58
320,50
320,55
320,57
347,32
347,58
355,13
355,35
355,36
355,37
355,42
355,46
355,50
355,56
355,60
355,66
383,75
389,57
390,46
395,9
424,26
424,52
439,26
452,25
454,22
454,38
454,41
454,99
454,100
459,57
460,24
460,58
479,30
493,44
501,13
507,29
509,54
516,18
549,41
568,44
568,57
600,14
632,42
637,33
709,91
739,4
772,73
881,92
915,35
917,57
917,64
942,33
942,40
942,46
942,72
975,47
1021,5
1021,27
1032,61
1068,5
1068,88
1100,13
1172,51
1172,58
1212,64
1244,98
1289,29
1321,32
1338,41
1348,10
1440,55
1445,38
1445,67
1445,81
1471,74
1476,55
1479,16
1479,20
1482,16
1491,93
1494,59
1533,63
1540,33
1553,56
1553,65
1575,98
1588,2
1601,71
1611,4
1611,33
1626,22
1643,33
1646,36
1671,49
1690,13
1715,64
1719,8
1736,61
1744,40
1758,51
1762,22
1775,27
1775,28
1824,14
1828,18
1851,60
1879,24
1879,33
1889,44
1897,68
1928,13
1933,2
1933,4
1933,9
1994,16
1998,5
1998,18
2031,32
2031,50
2031,64
2041,44
2043,1
2043,30
2043,59
2043,60
2047,41
2084,24
2084,57
2086,1
2086,2
2086,3
2086,90
2117,39
2221,32
2227,13
2230,22
2230,55
2234,42
2243,15
2269,95
2279,42
2292,23
2299,75
2337,1
2367,98
2367,100
2375,5
2378,10
2378,55
2392,16
2407,57
2407,58
2429,5
2429,16
2429,19
2451,2
2470,33
2478,7
2478,52
2488,60
2514,14
2514,25
2514,56
2524,58
2525,8
2525,24
2525,66
2525,68
2547,13
2552,53
2563,58
2575,6
2575,45
2575,61
2627,57
2633,15
2633,46
2635,99
2639,3
2639,25
2639,30
2639,51
2680,33
2680,58
2726,75
2726,83
2768,71
2799,51
2845,28
2884,52
2884,75
2953,43
2953,44
2953,57
2953,64
2953,67
2953,94
2953,97
3021,64
3029,16
3029,19
3063,33
3117,19
3126,2
3126,16
3127,62
3129,3
3129,10
3129,11
3129,12
3129,59
3129,70
3134,30
3143,18
3155,58
3173,44
3178,15
3204,9
3204,90
3251,44
3251,57
3299,4
3304,58
3306,86
3308,98
3327,8
3335,2
3361,13
3416,7
3442,37
3465,2
3487,1
3487,3
3487,33
3487,37
3487,57
3487,67
3488,16
3490,51
3492,44
3510,8
3512,16
3518,24
3531,5
3553,63
3576,47
3582,58
3593,8
3593,18
3603,51
3605,6
3622,99
3672,44
3697,92
3737,67
3742,75
3763,24
3795,9
3796,21
3796,55
3796,56
3808,24
3815,3
3815,58
3830,19
3838,39
3865,16
3874,8
3874,16
3896,57
3896,58
3904,87
3929,5
3945,84
3950,99
3953,12
3965,31
3970,18
3985,24
3985,43
3985,51
3985,53
3985,64
3988,47
3998,20
3998,33
3999,7
3999,20
3999,99
4002,55
4018,24
4052,7
4071,28
4102,2
4102,6
4135,37
4135,60
4150,38
4150,48
4150,51
4176,16
4191,18
4191,48
4237,74
4249,7
4276,4
4276,44
4283,9
4283,43
4347,24
4369,1
4369,45
4428,52
4576,62
4581,43
4603,9
4607,22
4622,58
4685,12
4693,97
4707,98
4709,92
4726,30
4730,33
4737,16
4772,40
4817,17
4822,25
4822,98
4852,5
4852,16
4852,20
4852,29
4852,65
